side,theatre_order,theatre_name,theatre_basis,faction_key,canonical_source_faction_key,corps_order,army_corps_name,display_year,display_rating,theatre_display_order,source_flag_directory,available_source_flag_files,selection_flag_source_file,selection_flag_derivation,selection_flag_donor_source_faction_key,flag_tga_path,flag_png_path,post_selection_flag_source_file,post_selection_flag_tga_path,post_selection_flag_png_path
empire,10,Egypt (1798-1801),screenshot,ntw3_ac_a04_x5_076,ntw3_ac_a04_f5_076,76,10. Bonaparte / Alexandrie,,10,1,data/ui/flags/f_04a_ac076,hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|mini_flag.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_076/flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_076/flag.png,,,
empire,10,Egypt (1798-1801),screenshot,ntw3_ac_a04_x5_077,ntw3_ac_a04_f5_077,77,8. Desaix / Nil,,8,2,data/ui/flags/f_04a_ac077,flag_132.tga|hud_left.tga|hud_right.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_077/flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_077/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_077/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_077/post_selection_flag.png
empire,10,Egypt (1798-1801),screenshot,ntw3_ac_a04_x5_078,ntw3_ac_a04_f5_078,78,6. Menou / Damiette,,6,3,data/ui/flags/f_04a_ac078,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_078/flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_078/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_078/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_078/post_selection_flag.png
empire,10,Egypt (1798-1801),screenshot,ntw3_ac_a04_x5_079,ntw3_ac_a04_f5_079,79,3. Chabot / Corfou,,3,4,data/ui/flags/f_04a_ac079,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_079/flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_079/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_079/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0010_egypt_1798_1801/ntw3_ac_a04_x5_079/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_080,ntw3_ac_a03_f5_080,80,12. Bonaparte / Italie.C,,12,1,data/ui/flags/f_03a_ac080,flag_132.tga|hud_right.tga|large.dds|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_080/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_080/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_080/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_080/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x6_084,ntw3_ac_a03_f6_084,84,11. Moreau / Rhin.R,,11,2,data/ui/flags/f_03a_ac084,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.tga|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_084/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_084/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_084/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_084/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x6_085,ntw3_ac_a03_f6_085,85,9. Lecourbe / Rhin.D,,9,3,data/ui/flags/f_03a_ac085,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.tga|mini_flag.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_085/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_085/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_085/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_085/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x6_086,ntw3_ac_a03_f6_086,86,8. Gouvion Saint-Cyr / Rhin.C,,8,4,data/ui/flags/f_03a_ac086,flag_132.tga|hud_left.tga|id_flag_infantry.tga|large.tga|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_086/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_086/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_086/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_086/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_082,ntw3_ac_a03_f5_082,82,7. Masséna / Italie.D,,7,5,data/ui/flags/f_03a_ac082,hud_left.tga|hud_right.tga|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_082/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_082/flag.png,,,
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x6_087,ntw3_ac_a03_f6_087,87,7. Sainte-Suzanne / Rhin.G,,7,6,data/ui/flags/f_03a_ac087,hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_087/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x6_087/flag.png,,,
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_089,ntw3_ac_a03_f5_089,89,7. Brune / Hollande,,7,7,data/ui/flags/f_03a_ac089,hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|portrait_flags.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_089/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_089/flag.png,,,
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_081,ntw3_ac_a03_f5_081,81,6. Desaix / Italie.R,,6,8,data/ui/flags/f_03a_ac081,flag_132.tga|hud_left.tga|id_flag_infantry.tga|mini_flag.tga|portrait_flags.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_081/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_081/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_081/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_081/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_083,ntw3_ac_a03_f5_083,83,6. Suchet / Italie.G,,6,9,data/ui/flags/f_03a_ac083,flag_132.tga|hud_right.tga|id_flag_infantry.tga|large.tga|portrait_flags.tga|small.tga,id_flag_infantry.tga,alpha_crop_and_resize_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_083/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_083/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_083/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_083/post_selection_flag.png
empire,20,Rhine-Italy (1798-1800),screenshot,ntw3_ac_a03_x5_088,ntw3_ac_a03_f5_088,88,5. Humbert / Irlande,,5,10,data/ui/flags/f_03a_ac088,flag_132.tga|hud_left.tga|hud_right.tga|id_flag_infantry.tga|large.dds|large.tga|mini_flag.tga|small.tga,mini_flag.tga,native_44x22,,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_088/flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_088/flag.png,flag_132.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_088/post_selection_flag.tga,assets/army_corps_by_theatre/empire/0020_rhine_italy_1798_1800/ntw3_ac_a03_x5_088/post_selection_flag.png
