unit_key,faction_key,army_corps_name,unit_name,is_tow_variant,encoded_staff_rank,command_stars,command_star_icon_path,command_star_strip_path,command_star_layout,base_mp_cost,unit_cap,recommended_placement,placement_basis,permission_table,permission_source_line,land_unit_table,land_unit_source_lines,rating_table,rating_source_lines,localisation_source,original_pack,original_internal_icon_path,original_extracted_path,copied_icon_path,original_sha256,existing_asset_sha256,matches_existing_asset,copy_status
ntw3_gen_staff_001_0_0540,aaa_lordz,1. Lordz,Grumpy plebs,false,0,,,,,500,1,aaa_lordz corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8857,db/units_tables/ntw3_land_units,11050,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/spain_spa_gen_staff_001_0_0540_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/spain_spa_gen_staff_001_0_0540_icon.tga,assets/staff_general_icons_by_corps/aaa_lordz/spain_spa_gen_staff_001_0_0540_icon.tga,7d6f3c39a876c6ed7876ccdfbab0a73a4ed4a3e345afe1a125d6eb17a6e98eb8,7d6f3c39a876c6ed7876ccdfbab0a73a4ed4a3e345afe1a125d6eb17a6e98eb8,true,copied_from_original_cards94
ntw3_gen_staff_001_0_0540,austria,,Grumpy plebs,false,0,,,,,500,1,austria corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8858,db/units_tables/ntw3_land_units,11050,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/spain_spa_gen_staff_001_0_0540_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/spain_spa_gen_staff_001_0_0540_icon.tga,assets/staff_general_icons_by_corps/austria/spain_spa_gen_staff_001_0_0540_icon.tga,7d6f3c39a876c6ed7876ccdfbab0a73a4ed4a3e345afe1a125d6eb17a6e98eb8,7d6f3c39a876c6ed7876ccdfbab0a73a4ed4a3e345afe1a125d6eb17a6e98eb8,true,copied_from_original_cards94
ntw3_gen_staff_214_0_0566,britain,"8. UK (Spain, 1808)",Alexander Mackenzie Fraser,false,0,,,,,1,1,britain corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9322,db/units_tables/ntw3_land_units,11591,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/britain_pen1_gen_staff_214_0_0566_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/britain_pen1_gen_staff_214_0_0566_icon.tga,assets/staff_general_icons_by_corps/britain/britain_pen1_gen_staff_214_0_0566_icon.tga,21950acb36eacf65b471f459a8d799375dccf0e6ab0546bc32fb4d3ad1f37620,21950acb36eacf65b471f459a8d799375dccf0e6ab0546bc32fb4d3ad1f37620,true,copied_from_original_cards94
ntw3_gen_staff_214_1_0565,britain,"8. UK (Spain, 1808)",David Baird,false,1,1,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_1.png,vertical_left,76,1,britain corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9323,db/units_tables/ntw3_land_units,11592,db/mp_general_command_ratings_tables/mp_general_command_ratings,3513,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/britain_egy_gen_staff_214_1_0565_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/britain_egy_gen_staff_214_1_0565_icon.tga,assets/staff_general_icons_by_corps/britain/britain_egy_gen_staff_214_1_0565_icon.tga,d0ea21c2002f13613e41029c60e2f94ab0e55d20d0b34677a1a2e5bca5c96323,d0ea21c2002f13613e41029c60e2f94ab0e55d20d0b34677a1a2e5bca5c96323,true,copied_from_original_cards94
ntw3_gen_staff_214_3_0567,britain,"8. UK (Spain, 1808)",Edward Paget,false,3,3,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_3.png,vertical_left,351,1,britain corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9325,db/units_tables/ntw3_land_units,11594,db/mp_general_command_ratings_tables/mp_general_command_ratings,3515,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/britain_pen1_gen_staff_214_3_0567_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/britain_pen1_gen_staff_214_3_0567_icon.tga,assets/staff_general_icons_by_corps/britain/britain_pen1_gen_staff_214_3_0567_icon.tga,e8d444717d6a9319d2d66cb01ba2c56218ec2ec47f4f2eef7c54627a021982ee,e8d444717d6a9319d2d66cb01ba2c56218ec2ec47f4f2eef7c54627a021982ee,true,copied_from_original_cards94
ntw3_gen_staff_214_2_0564,britain,"8. UK (Spain, 1808)",John Hope 'Earl of Hopetoun',false,2,2,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_2.png,vertical_left,199,1,britain corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9324,db/units_tables/ntw3_land_units,11593,db/mp_general_command_ratings_tables/mp_general_command_ratings,3514,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/britain_pen1_gen_staff_214_2_0564_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/britain_pen1_gen_staff_214_2_0564_icon.tga,assets/staff_general_icons_by_corps/britain/britain_pen1_gen_staff_214_2_0564_icon.tga,68affd9f1e502919d0f970536446c95e251e6c048346a2161fb0d3fd0f62eca7,68affd9f1e502919d0f970536446c95e251e6c048346a2161fb0d3fd0f62eca7,true,copied_from_original_cards94
ntw3_gen_staff_214_5_0356,britain,"8. UK (Spain, 1808)",John Moore,false,5,5,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_5.png,vertical_left,718,1,britain corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,9326,db/units_tables/ntw3_land_units,11595,db/mp_general_command_ratings_tables/mp_general_command_ratings,3516,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/britain_pen1_gen_staff_214_5_0356_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/britain_pen1_gen_staff_214_5_0356_icon.tga,assets/staff_general_icons_by_corps/britain/britain_pen1_gen_staff_214_5_0356_icon.tga,edba94039ef17f7610b606a2acd2fe892e260609b5146c3be3541fa2c3a9df8c,edba94039ef17f7610b606a2acd2fe892e260609b5146c3be3541fa2c3a9df8c,true,copied_from_original_cards94
ntw3_gen_staff_005_1_0539,denmark,7. Danmark,Christian von Augustenbrog,false,1,1,assets/ui/command_stars/star_gold.png,assets/ui/command_stars/vertical/command_stars_1.png,vertical_left,87,1,denmark corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8861,db/units_tables/ntw3_land_units,11053,db/mp_general_command_ratings_tables/mp_general_command_ratings,3041,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/denmarkc_gen_staff_005_1_0539_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/denmarkc_gen_staff_005_1_0539_icon.tga,assets/staff_general_icons_by_corps/denmark/denmarkc_gen_staff_005_1_0539_icon.tga,e9ab09cc6e4d8dab9e5f2868bd29cb5e7af9b8e8e6290c2e9aaa7d2ad6b28ec9,e9ab09cc6e4d8dab9e5f2868bd29cb5e7af9b8e8e6290c2e9aaa7d2ad6b28ec9,true,copied_from_original_cards94
ntw3_gen_staff_005_0_0227,denmark,7. Danmark,Ernst Peymann,false,0,,,,,1,1,denmark corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8859,db/units_tables/ntw3_land_units,11051,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/denmarkc_gen_staff_005_0_0227_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/denmarkc_gen_staff_005_0_0227_icon.tga,assets/staff_general_icons_by_corps/denmark/denmarkc_gen_staff_005_0_0227_icon.tga,cd95efede4fec6487418569687e11249dc52fbb50fcabc542108e5d7cf708804,cd95efede4fec6487418569687e11249dc52fbb50fcabc542108e5d7cf708804,true,copied_from_original_cards94
ntw3_gen_staff_005_0_0228,denmark,7. Danmark,Frederik Ahlefeldt-Laurvig 'Teatergal',false,0,,,,,1,1,denmark corps root,exact unit_key + faction_key permission with allowed=true,db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions,8860,db/units_tables/ntw3_land_units,11052,db/mp_general_command_ratings_tables/mp_general_command_ratings,,NTW3/Version94/Data/txt.9401.pack:text/localisation.loc,NTW3/Version94/Graphics/cards94.pack,ui/units/icons/denmarkc_gen_staff_005_0_0228_icon.tga,source/original_ntw3_v94_staff_general_icons/ui/units/icons/denmarkc_gen_staff_005_0_0228_icon.tga,assets/staff_general_icons_by_corps/denmark/denmarkc_gen_staff_005_0_0228_icon.tga,133ee0d8d5e789ad1270182a09b009fa1a6dc5fde500c6bbde626ca85759254a,133ee0d8d5e789ad1270182a09b009fa1a6dc5fde500c6bbde626ca85759254a,true,copied_from_original_cards94
