unit_key	command_stars
#mp_general_command_ratings_tables;0;db/mp_general_command_ratings_tables/mp_general_command_ratings	
ntw3_art_foot_005_006_0451_com_0256	1
ntw3_art_foot_013_006_0030_com_0009	2
ntw3_art_foot_013_006_0030_tow_026_com_0009	2
ntw3_art_foot_017_999_0035_com_0250	2
ntw3_art_foot_017_999_0035_tow_039_com_0250	2
ntw3_art_foot_018_010_0037_com_0242	1
ntw3_art_foot_018_010_0037_tow_039_com_0242	1
ntw3_art_foot_019_006_0042_com_0246	1
ntw3_art_foot_019_006_0042_tow_042_com_0246	1
ntw3_art_foot_019_010_0040_com_0245	3
ntw3_art_foot_019_010_0040_tow_042_com_0245	3
ntw3_art_foot_020_010_0045_com_0247	2
ntw3_art_foot_020_010_0045_tow_042_com_0247	2
ntw3_art_foot_022_006_15681_com_0253	1
ntw3_art_foot_022_006_15681_tow_041_com_0253	1
ntw3_art_foot_023_006_0052_com_0252	1
ntw3_art_foot_023_006_0052_tow_043_com_0252	1
ntw3_art_foot_023_012_0051_com_0282	3
ntw3_art_foot_023_012_0051_tow_043_com_0282	3
ntw3_art_foot_025_012_0057_com_0280	2
ntw3_art_foot_025_012_0057_tow_042_com_0280	2
ntw3_art_foot_027_006_0065_com_0011	1
ntw3_art_foot_027_006_0065_tow_006_com_0011	1
ntw3_art_foot_027_012_0063_com_0010	2
ntw3_art_foot_027_012_0063_tow_006_com_0010	2
ntw3_art_foot_029_010_0067_com_0012	3
ntw3_art_foot_029_010_0067_tow_007_com_0012	3
ntw3_art_foot_030_010_0070_com_0013	1
ntw3_art_foot_030_010_0070_tow_007_com_0013	1
ntw3_art_foot_032_006_0077_com_0016	1
ntw3_art_foot_033_005_0081_com_0017	1
ntw3_art_foot_033_005_0081_tow_007_com_0017	1
ntw3_art_foot_034_006_0086_com_0018	1
ntw3_art_foot_034_006_0086_tow_009_com_0018	1
ntw3_art_foot_035_999_0106_com_0027	3
ntw3_art_foot_035_999_0106_tow_009_com_0027	3
ntw3_art_foot_037_012_0097_com_0022	1
ntw3_art_foot_037_012_0097_tow_009_com_0022	1
ntw3_art_foot_039_004_0102_com_0025	1
ntw3_art_foot_039_004_0102_tow_009_com_0025	1
ntw3_art_foot_040_010_0109_com_0029	1
ntw3_art_foot_040_010_0109_tow_008_com_0029	1
ntw3_art_foot_041_012_0111_com_0030	1
ntw3_art_foot_041_012_0111_tow_008_com_0030	1
ntw3_art_foot_042_012_0114_com_0032	4
ntw3_art_foot_042_012_0114_tow_008_com_0032	4
ntw3_art_foot_042_020_0115_com_0033	3
ntw3_art_foot_042_020_0115_tow_008_com_0033	3
ntw3_art_foot_044_012_0117_com_0034	2
ntw3_art_foot_045_012_15656_com_0235	1
ntw3_art_foot_045_012_15656_tow_008_com_0235	1
ntw3_art_foot_046_005_0122_com_0035	1
ntw3_art_foot_046_005_0122_tow_044_com_0035	1
ntw3_art_foot_048_010_0128_com_0037	4
ntw3_art_foot_048_010_0128_tow_044_com_0037	4
ntw3_art_foot_049_005_0134_com_0038	1
ntw3_art_foot_049_005_0134_tow_044_com_0038	1
ntw3_art_foot_050_005_0138_com_0039	1
ntw3_art_foot_050_005_0138_tow_044_com_0039	1
ntw3_art_foot_051_010_0139_com_0040	2
ntw3_art_foot_051_010_0139_tow_044_com_0040	2
ntw3_art_foot_052_010_0143_com_0041	1
ntw3_art_foot_055_006_0150_com_0229	1
ntw3_art_foot_055_006_0150_tow_045_com_0229	1
ntw3_art_foot_055_024_15673_com_0248	1
ntw3_art_foot_055_024_15673_tow_045_com_0248	1
ntw3_art_foot_055_999_0152_com_0230	1
ntw3_art_foot_055_999_0152_tow_045_com_0230	1
ntw3_art_foot_056_006_0153_com_0231	2
ntw3_art_foot_056_006_0153_tow_045_com_0231	2
ntw3_art_foot_056_999_0154_com_0232	1
ntw3_art_foot_056_999_0154_tow_045_com_0232	1
ntw3_art_foot_057_006_0155_com_0042	2
ntw3_art_foot_057_006_0155_tow_012_com_0042	2
ntw3_art_foot_057_006_0156_com_0043	2
ntw3_art_foot_057_006_0156_tow_012_com_0043	2
ntw3_art_foot_058_012_0159_com_0045	1
