key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/units_to_exclusive_faction_permissions		
ntw3_art_fixed_013_999_0002	ntw3_ac_b10_x6_013	true
ntw3_art_fixed_013_999_0002_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_fixed_014_999_0003	ntw3_ac_b10_x6_014	true
ntw3_art_fixed_014_999_0003_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_fixed_059_999_0004	ntw3_ac_b12_x5_059	true
ntw3_art_fixed_059_999_0004_tow_012	ntw3_tow_b12_x8_012	true
ntw3_art_fixed_254_999_15860	ntw3_ac_b15_x7_254	true
ntw3_art_fixed_254_999_15860_tow_052	ntw3_tow_b15_x8_052	true
ntw3_art_fixed_284_999_15914	ntw3_ac_b17_x6_284	true
ntw3_art_fixed_284_999_15914_com_0352	ntw3_ac_b17_x6_284	true
ntw3_art_fixed_291_012_16028	ntw3_ac_a17_x6_291	true
ntw3_art_fixed_295_999_16059	ntw3_ac_a17_x7_295	true
ntw3_art_foot_001_012_0483	aaa_lordz	true
ntw3_art_foot_001_012_0483	austria	true
ntw3_art_foot_005_003_0450	denmark	true
ntw3_art_foot_005_006_0451	denmark	true
ntw3_art_foot_005_006_0451_com_0256	denmark	true
ntw3_art_foot_005_999_0452	denmark	true
ntw3_art_foot_013_006_0030	ntw3_ac_b10_x6_013	true
ntw3_art_foot_013_006_0030_com_0009	ntw3_ac_b10_x6_013	true
ntw3_art_foot_013_006_0030_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_foot_013_006_0030_tow_026_com_0009	ntw3_tow_b10_x8_026	true
ntw3_art_foot_013_024_15802	ntw3_ac_b10_x6_013	true
ntw3_art_foot_013_024_15802_com_0313	ntw3_ac_b10_x6_013	true
ntw3_art_foot_013_024_15802_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_foot_013_024_15802_tow_026_com_0313	ntw3_tow_b10_x8_026	true
ntw3_art_foot_014_006_0031	ntw3_ac_b10_x6_014	true
ntw3_art_foot_014_006_0031_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_foot_014_009_0032	ntw3_ac_b10_x6_014	true
ntw3_art_foot_014_009_0032_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_foot_015_006_0034	ntw3_ac_b10_x6_015	true
ntw3_art_foot_015_006_0034_tow_026	ntw3_tow_b10_x8_026	true
ntw3_art_foot_016_006_15790	ntw3_ac_b10_x7_016	true
ntw3_art_foot_016_018_15789	ntw3_ac_b10_x7_016	true
ntw3_art_foot_017_005_15812	ntw3_ac_b03_x6_017	true
ntw3_art_foot_017_005_15812_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_017_010_15674	ntw3_ac_b03_x6_017	true
ntw3_art_foot_017_010_15674_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_017_999_0035	ntw3_ac_b03_x6_017	true
ntw3_art_foot_017_999_0035_com_0250	ntw3_ac_b03_x6_017	true
ntw3_art_foot_017_999_0035_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_017_999_0035_tow_039_com_0250	ntw3_tow_b03_x8_039	true
ntw3_art_foot_017_999_0036	ntw3_ac_b03_x6_017	true
ntw3_art_foot_017_999_0036_tow_039	ntw3_tow_b03_x8_039	true
ntw3_art_foot_018_003_15813	ntw3_ac_b03_x6_018	true
ntw3_art_foot_018_003_15813_tow_039	ntw3_tow_b03_x8_039	true
